Surname,First Names,Gender,Age,Boarded,Survived,Class
Snowberger,Mr. Eustace Philip,Male,21,Southampton,S,Crew
Parkes,"Mr. Francis ""Frank""",Male,21,Belfast,V,Crew
Hartnell,Mr. Frederick,Male,21,Southampton,S,Crew
Combes,Mr. George,Male,21,Southampton,S,Crew
Levett,Mr. George Alfred,Male,21,Belfast,V,Crew
Prior,Mr. Harold John,Male,21,Belfast,S,Crew
Coe,Mr. Harry,Male,21,Southampton,V,Crew
Bolhuis,"Mr. Hendrik ""Hennie""",Male,21,Southampton,V,Crew
Ingrouille,Mr. Henry,Male,21,Southampton,V,Crew
Bulley,Mr. Henry Ashburnham,Male,21,Southampton,V,Crew
Crimmins,Mr. James,Male,21,Southampton,S,Crew
Scott,Mr. John,Male,21,Southampton,V,Crew
Knight,Mr. Leonard George,Male,21,Southampton,V,Crew
Hoare,Mr. Leonard James,Male,21,Belfast,V,Crew
Morrell,Mr. R. (Albert White),Male,21,Southampton,V,Crew
Moore,Mr. Ralph,Male,21,Southampton,V,Crew
Hardwick,Mr. Reginald,Male,21,Southampton,S,Crew
Kelland,Mr. Thomas,Male,21,Southampton,V,Crew
Taylor,Mr. William,Male,21,Southampton,V,Crew
Campbell,Mr. William Henry,Male,21,Belfast,V,Crew
Beane,Mrs Ethel,Female,22,Southampton,S,2
Bowerman,Miss Elsie Edith,Female,22,Southampton,S,1
Bradley,Miss Bridget Delia,Female,22,Queenstown,S,3
Buckley,Miss Katherine,Female,22,Queenstown,V,3
Canavan,Miss Mary,Female,22,Queenstown,V,3
Cleaver,Miss Alice Catherine,Female,22,Southampton,S,1
Cook,Mrs Selena,Female,22,Southampton,S,2
Dahlberg,Miss Gerda Ulrika,Female,22,Southampton,V,3
Dyker,Mrs Anna Elisabeth Judith,Female,22,Southampton,S,3
Fleming,Miss Honor,Female,22,Queenstown,V,3
Frölicher,Miss Hedwig Margaritha,Female,22,Cherbourg,S,1
Gibson,Miss Dorothy Winifred,Female,22,Cherbourg,S,1
Hellström,Miss Hilda Maria,Female,22,Southampton,S,3
Hirvonen,Mrs Helga Elisabeth Lindqvist,Female,22,Southampton,S,3
Kelly,Miss Mary,Female,22,Queenstown,S,3
Kink,Miss Maria,Female,22,Southampton,V,3
Landergren,Miss Aurora Adelia,Female,22,Southampton,S,3
Laroche,Mrs Juliette Marie Louise,Female,22,Cherbourg,S,2
McGovern,Ms Mary,Female,22,Queenstown,S,3
Muslamān ī,Mrs Fat īmah Muhammad,Female,22,Cherbourg,S,3
Nysten,Miss Anna Sofia,Female,22,Southampton,S,3
Öhman,Miss Velin,Female,22,Southampton,S,3
Østby,Miss Helen Ragnhild,Female,22,Southampton,S,1
Pears,Mrs Edith,Female,22,Southampton,S,1
Peñasco Y Castellana,Mrs Maria Josefa Perezde Soto y Vallejo,Female,22,Cherbourg,S,1
Riihivuori,Miss Susanna Juhantytär,Female,22,Southampton,V,3
Strandberg,Miss Ida Sofia,Female,22,Southampton,V,3
Baimbrigge,Mr Charles Robert,Male,22,Southampton,V,2
Barton,Mr David John,Male,22,Southampton,V,3
Berglund,Mr Karl Ivar Sven,Male,22,Southampton,V,3
Braund,Mr Owen Harris,Male,22,Southampton,V,3
Brobäck,Mr Karl Rudolf,Male,22,Southampton,V,3
Davies,Mr Evan,Male,22,Southampton,V,3
Dennis,Mr Samuel,Male,22,Southampton,V,3
Dougherty,Mr William John,Male,22,Queenstown,V,3
Elias Nasrallah,Mr Tannous,Male,22,Cherbourg,V,3
Ford,Mr Arthur,Male,22,Southampton,V,3
Gilinski,Mr Eliezer,Male,22,Southampton,V,3
Horgan,Mr John,Male,22,Queenstown,V,3
Jefferys,Mr Ernest Wilfred,Male,22,Southampton,V,2
Johansson,Mr Erik,Male,22,Southampton,V,3
Karlsson,Mr Nils August,Male,22,Southampton,V,3
Kiernan,Mr Philip,Male,22,Queenstown,V,3
Kilgannon,Mr Thomas,Male,22,Queenstown,V,3
Larsson,Mr Edvard,Male,22,Southampton,V,3
Mäenpää,Mr Matti Alexanteri,Male,22,Southampton,V,3
Meehan,Mr John,Male,22,Queenstown,V,3
Murdlin,Mr Joseph,Male,22,Southampton,V,3
Naidenoff,Mr Penko,Male,22,Southampton,V,3
Nenkov,Mr Hristo,Male,22,Southampton,V,3
Oxenham,Mr Percy Thomas,Male,22,Southampton,S,2
Payne,Mr Vivian Ponsonby,Male,22,Southampton,V,1
Perkin,Mr John Henry,Male,22,Southampton,V,3
Righini,Mr Sante,Male,22,Cherbourg,V,1
Scanlan,Mr James,Male,22,Queenstown,V,3
Shorney,Mr Charles Joseph,Male,22,Southampton,V,3
Sirayanian,Mr Orsen,Male,22,Cherbourg,V,3
Tomlin,Mr Ernest Portage,Male,22,Southampton,V,3
Vartanian,Mr David,Male,22,Cherbourg,V,3
Waelens,Mr Achille,Male,22,Southampton,V,3
Zakarian,Mr Mapriededer,Male,22,Cherbourg,V,3
Zenni,Mr Philip,Male,22,Cherbourg,S,3
Dore,Mr. A.,Male,22,Southampton,S,Crew
Rigozzi,Mr. Abele,Male,22,Southampton,V,Crew
Hunt,Mr. Albert,Male,22,Southampton,S,Crew
Eagle,Mr. Alfred James,Male,22,Southampton,V,Crew
Leader,Mr. Archie,Male,22,Southampton,V,Crew
Copperthwaite,Mr. B.,Male,22,Southampton,V,Crew
Bernardi,Mr. Battista,Male,22,Southampton,V,Crew
Gosling,Mr. Bertram James,Male,22,Southampton,V,Crew
Pryce,Mr. Charles William,Male,22,Southampton,V,Crew
Hogue,Mr. E.,Male,22,Southampton,V,Crew
Prentice,Mr. Frank Winnold,Male,22,Belfast,S,Crew
Doel,Mr. Frederick,Male,22,Southampton,S,Crew
Kemish,Mr. George,Male,22,Southampton,S,Crew
Ede,Mr. George B.,Male,22,Southampton,V,Crew
Ayling,Mr. George Edwin,Male,22,Southampton,V,Crew
Cavell,Mr. George Henry,Male,22,Southampton,S,Crew
Ford,Mr. H.,Male,22,Southampton,V,Crew
Bride,Mr. Harold Sydney,Male,22,Belfast,S,Crew
Smither,Mr. Harry James,Male,22,Southampton,V,Crew
Hatch,Mr. Hugh,Male,22,Southampton,V,Crew
Norris,Mr. James,Male,22,Southampton,V,Crew
Avery,Mr. James Frank,Male,22,Southampton,S,Crew
Bevis,Mr. Joseph Henry,Male,22,Southampton,V,Crew
Perkins,Mr. Laurence Alexander,Male,22,Southampton,V,Crew
Debreucq,Mr. Maurice Emile Victor,Male,22,Southampton,V,Crew
Blake,Mr. Percival Albert,Male,22,Southampton,S,Crew
Halford,Mr. Richard,Male,22,Southampton,S,Crew
Proudfoot,Mr. Richard Royston,Male,22,Southampton,V,Crew
Ricaldone,Mr. Rinaldo Renato,Male,22,Southampton,V,Crew
Butt,Mr. Robert Henry,Male,22,Southampton,V,Crew
Urbini,Mr. Roberto,Male,22,Southampton,V,Crew
Hiscock,Mr. S.,Male,22,Southampton,V,Crew
Doughty,Mr. W.,Male,22,Southampton,V,Crew
McInytre,Mr. William,Male,22,Southampton,S,Crew
McReynolds,Mr. William,Male,22,Belfast,V,Crew
Snape,Mrs. Lucy Violet,Female,22,Southampton,V,Crew
Connolly,Miss Catherine,Female,23,Queenstown,S,3
Earnshaw,Mrs Olive,Female,23,Cherbourg,S,1
Fortune,Miss Mabel Helen,Female,23,Southampton,S,1
Hämäläinen,Mrs Anna,Female,23,Southampton,S,2
Heininen,Miss Wendla Maria,Female,23,Southampton,V,3
Herman,Miss Alice,Female,23,Southampton,S,2
Herman,Miss Kate,Female,23,Southampton,S,2
Jerwan,Mrs Marie Marthe,Female,23,Cherbourg,S,2
Lundin,Miss Olga Elida,Female,23,Southampton,S,3
Mockler,Miss Ellen Mary,Female,23,Queenstown,S,3
Newell,Miss Marjorie Anne,Female,23,Cherbourg,S,1
Oreskovic,Miss Jelka,Female,23,Southampton,V,3
Snyder,Mrs Nelle,Female,23,Southampton,S,1
Alexander,Mr William Albert,Male,23,Southampton,V,3
Asplund,Mr Johan Charles,Male,23,Southampton,S,3
Assam,Mr Ali,Male,23,Southampton,V,3
Augustsson,Mr Albert,Male,23,Southampton,V,3
Batoshev,Mr Hristo Lalev,Male,23,Southampton,V,3
Berriman,Mr William John,Male,23,Southampton,V,2
Dyker,Mr Adolf Fredrik,Male,23,Southampton,V,3
Giglio,Mr Victor Gaitan Andrea,Male,23,Cherbourg,V,1
Greenfield,Mr William Bertram,Male,23,Cherbourg,S,1
Guest,Mr Robert,Male,23,Southampton,V,3
Hocking,Mr Richard George,Male,23,Southampton,V,2
Jonkoff,Mr Lalio,Male,23,Southampton,V,3
Keane,Mr Andrew,Male,23,Queenstown,V,3
Krins,Mr Georges Alexandre,Male,23,Southampton,V,2
Lam,Mr Len,Male,23,Southampton,V,3
Marinko,Mr Dmitri,Male,23,Southampton,V,3
Matthews,Mr William John,Male,23,Southampton,V,2
Miles,Mr Frank,Male,23,Southampton,V,3
Mitkoff,Mr Mito,Male,23,Southampton,V,3
O’Connor,Mr Patrick,Male,23,Queenstown,V,3
Ödahl,Mr Nils Martin,Male,23,Southampton,V,3
Pain,Dr Alfred,Male,23,Southampton,V,2
Richard,Mr Emile Phillippe,Male,23,Cherbourg,V,2
Spector,Mr Woolf,Male,23,Southampton,V,3
Staneff,Mr Ivan,Male,23,Southampton,V,3
Todoroff,Mr Lalio,Male,23,Southampton,V,3
Troupiansky,Mr Moses Aaron,Male,23,Southampton,V,2
Van Melckebeke,Mr Philemon,Male,23,Southampton,V,3
Ware,Mr William Jeffery,Male,23,Southampton,V,2
Wazli,Mr Yousif Ahmed,Male,23,Cherbourg,V,3
Williams,Mr Charles Eugene,Male,23,Southampton,S,2
Krins,Georges Alexandre,Male,23,Southampton,V,Crew
Rotta,Mr. Angelo Mario,Male,23,Southampton,V,Crew
Jewell,Mr. Archie,Male,23,Belfast,S,Crew
McMicken,Mr. Arthur,Male,23,Belfast,S,Crew
Priest,Mr. Arthur J.,Male,23,Southampton,S,Crew
May Jr.,Mr. Arthur William,Male,23,Southampton,V,Crew
Light,Mr. C.,Male,23,Southampton,V,Crew
Light,Mr. Charles,Male,23,Southampton,V,Crew
Savage,Mr. Charles J.,Male,23,Southampton,S,Crew
Ricks,Mr. Cyril G.,Male,23,Southampton,V,Crew
Testoni,Mr. Ercole,Male,23,Southampton,V,Crew
Elliott,Mr. Everett Edward,Male,23,Southampton,V,Crew
Bertoldo,Mr. Fioravante Giuseppe,Male,23,Southampton,V,Crew
Tamlyn,Mr. Frederick,Male,23,Southampton,V,Crew
Hallett,Mr. George,Male,23,Southampton,V,Crew
Monteverdi,Mr. Giovanni,Male,23,Southampton,V,Crew
Crabb,Mr. H.,Male,23,Southampton,V,Crew
Phillimore,Mr. Harold Charles William,Male,23,Belfast,S,Crew
Rudd,Mr. Henry,Male,23,Southampton,V,Crew
Perry,Mr. Henry Frederick,Male,23,Southampton,V,Crew
Mabey,Mr. J.,Male,23,Southampton,V,Crew
Butterworth,Mr. John,Male,23,Southampton,V,Crew
Prideaux,"Mr. John Arthur ""Jack""",Male,23,Belfast,V,Crew
Dawson,Mr. Joseph[17],Male,23,Southampton,V,Crew
Saunders,Mr. W.,Male,23,Southampton,V,Crew
Kelly,Mr. William,Male,23,Belfast,V,Crew
McAndrews,Mr. William,Male,23,Southampton,V,Crew
Morris,Mr. William Edward,Male,23,Southampton,V,Crew
White,Mr. William George,Male,23,Southampton,S,Crew
Moyes,Mr. William Young,Male,23,Belfast,V,Crew
Aubart,Mme. Léontine Pauline “Ninette”,Female,24,Cherbourg,S,1
Baclini,Mrs Latifa,Female,24,Cherbourg,S,3
Del Carlo,Mrs Argene,Female,24,Cherbourg,S,2
Dropkin,Miss Jennie,Female,24,Southampton,V,3
Fortune,Miss Alice Elizabeth,Female,24,Southampton,S,1
Haas,Miss Aloisia,Female,24,Southampton,V,3
Hakkarainen,Mrs Elin Matilda,Female,24,Southampton,S,3
Hays,Miss Margaret Bechstein,Female,24,Cherbourg,S,1
Jacobsohn,Mrs Amy Frances Christy,Female,24,Southampton,S,2
Kantor,Mrs Miriam,Female,24,Southampton,S,2
Mallet,Mrs Antonine Marie,Female,24,Cherbourg,S,2
Mayné,Mlle Berthe Antonine,Female,24,Cherbourg,S,1
McCarthy,Miss Catherine,Female,24,Queenstown,S,3
Mubārik,Mrs Am īnah,Female,24,Cherbourg,S,3
Richards,Mrs Emily,Female,24,Southampton,S,2
Sägesser,Mlle Emma,Female,24,Cherbourg,S,1
Sandström,Mrs Agnes Charlotta,Female,24,Southampton,S,3
Stanley,Miss Amy Zillah Elsie,Female,24,Southampton,S,3
Yūsuf,Mrs Kātr īn,Female,24,Cherbourg,S,3
Yvois,Miss Henriette,Female,24,Southampton,V,2
Ali,Mr Ahmed,Male,24,Southampton,V,3
Aronsson,Mr Ernst Axel Algot,Male,24,Southampton,V,3
Baxter,Mr Quigg Edmond,Male,24,Cherbourg,V,1
Birnbaum,Mr Jakob,Male,24,Cherbourg,V,1
Brailey,Mr William Theodore Ronald,Male,24,Southampton,V,2
Carlsson,Mr Carl Robert,Male,24,Southampton,V,3
Celotti,Mr Francesco,Male,24,Southampton,V,3
Colbert,Mr Patrick,Male,24,Queenstown,V,3
Coleff,Mr Satio,Male,24,Southampton,V,3
Davies,Mr Alfred James,Male,24,Southampton,V,3
Duquemin,Mr Joseph Pierre,Male,24,Southampton,S,3
Giles,Mr Ralph,Male,24,Southampton,V,2
Gill,Mr John,Male,24,Southampton,V,2
Hee,Mr Ling,Male,24,Southampton,S,3
Hickman,Mr Leonard Mark,Male,24,Southampton,V,2
Jefferys,Mr Clifford Thomas,Male,24,Southampton,V,2
Kennedy,Mr John,Male,24,Queenstown,V,3
Lievens,Mr René Aimé,Male,24,Southampton,V,3
Madsen,Mr Fridtjof Arne,Male,24,Southampton,S,3
McCoy,Mr Bernard,Male,24,Queenstown,S,3
Mineff,Mr Ivan,Male,24,Southampton,V,3
Peduzzi,Mr Giuseppe,Male,24,Southampton,V,3
Peñasco Y Castellana,Mr Victor,Male,24,Cherbourg,V,1
Petersen,Mr Marius,Male,24,Southampton,V,3
Pokrnic,Mr Tome,Male,24,Southampton,V,3
Ponesell,Mr Martin,Male,24,Southampton,V,2
Ryan,Mr Edward,Male,24,Queenstown,S,3
Salander,Mr Karl Johan,Male,24,Southampton,V,3
Shaughnessy,Mr Patrick,Male,24,Queenstown,V,3
Smith,Mr Lucian Philip,Male,24,Cherbourg,V,1
Snyder,Mr John Pillsbury,Male,24,Southampton,S,1
Svensson,Mr Olof,Male,24,Southampton,V,3
Wheeler,Mr Edwin Charles,Male,24,Southampton,V,2
Jessop,Miss Violet Constance,Female,24,Southampton,S,Crew
Shiers,Mr. Alfred,Male,24,Southampton,S,Crew
Geer,Mr. Alfred Ernest,Male,24,Southampton,V,Crew
Pearce,Mr. Alfred Ernest,Male,24,Southampton,V,Crew
Evans,Mr. Alfred Frank,Male,24,Southampton,S,Crew
Head,Mr. Arthur,Male,24,Southampton,V,Crew
Ward,Mr. Arthur,Male,24,Southampton,V,Crew
Boughton,Mr. B.,Male,24,Southampton,V,Crew
Allen,Mr. Ernest Frederick,Male,24,Southampton,S,Crew
Bendell,Mr. F.,Male,24,Southampton,V,Crew
Edbrooke,Mr. F.,Male,24,Southampton,V,Crew
Evans,Mr. Frank Oliver,Male,24,Southampton,S,Crew
Fleet,Mr. Frederick,Male,24,Belfast,S,Crew
Wright,Mr. Frederick,Male,24,Southampton,V,Crew
Kearl,Mr. G.,Male,24,Southampton,V,Crew
Gumery,Mr. George,Male,24,Southampton,V,Crew
Symons,Mr. George Thomas Macdonald,Male,24,Southampton,S,Crew
Beauchamp,Mr. George William,Male,24,Southampton,S,Crew
Jouannault,Mr. Georges Jules,Male,24,Southampton,V,Crew
Grosclaude,Mr. Gérald,Male,24,Southampton,V,Crew
Sesia,Mr. Giacomo,Male,24,Southampton,V,Crew
Saccaggi,Mr. Giovanni Giuseppe Emilio,Male,24,Southampton,V,Crew
Blackman,Mr. H.,Male,24,Southampton,V,Crew
Dyer,Mr. Henry Ryland,Male,24,Southampton,V,Crew
Sartori,Mr. Lazar,Male,24,Southampton,V,Crew
Middleton,Mr. M.V.,Male,24,Southampton,V,Crew
Baines,Mr. Richard,Male,24,Southampton,V,Crew
Weatherston,Mr. Thomas,Male,24,Belfast,V,Crew
Banfi,Mr. Ugo,Male,24,Southampton,V,Crew
Pusey,Mr. William Robert Holland,Male,24,Southampton,S,Crew
Cherrett,Mr. William Victor,Male,24,Southampton,V,Crew
Moody,"Sub-Lieutenant James Paul, RNR",Male,24,Belfast,V,Crew
Brailey,Theodore Ronald,Male,24,Southampton,V,Crew
Allison,Mrs Bessie Waldo,Female,25,Southampton,V,1
Cavendish,Mrs Julia Florence,Female,25,Southampton,S,1
Christy,Miss Rachel Juli Cohen,Female,25,Southampton,S,2
Ilmakangas,Miss Pieta Sofia,Female,25,Southampton,V,3
Lindahl,Miss Agda Thorilda Viktoria,Female,25,Southampton,V,3
Meyer,Mrs Leila,Female,25,Cherbourg,S,1
Mulvihill,Miss Bridget Elizabeth,Female,25,Queenstown,S,3
Murphy,Miss Margaret Jane,Female,25,Queenstown,S,3
O’Dwyer,Miss Ellen,Female,25,Queenstown,S,3
Shelley,Mrs Imanita Parrish,Female,25,Southampton,S,2
Abelseth,Mr Olaus Jørgensen,Male,25,Southampton,S,3
Ali,Mr William,Male,25,Southampton,V,3
Andrew,Mr Frank Thomas,Male,25,Southampton,V,2
Arnold-Franchi,Mr Josef,Male,25,Southampton,V,3
Bishop,Mr Dickinson H.,Male,25,Cherbourg,S,1
Botsford,Mr William Hull,Male,25,Southampton,V,2
Bryhl,Mr Kurt Arnold Gottfrid,Male,25,Southampton,V,2
Butler,Mr Reginald Fenton,Male,25,Southampton,V,2
Collett,Mr Sidney Clarence Stuart,Male,25,Southampton,S,2
Dean,Mr Bertram Frank,Male,25,Southampton,V,3
Delalic,Mr Redjo,Male,25,Southampton,V,3
Denbuoy,Mr Albert Joseph,Male,25,Southampton,V,2
Eitemiller,Mr George Floyd,Male,25,Southampton,V,2
Farrell,Mr James,Male,25,Queenstown,V,3
Harder,Mr George Achilles,Male,25,Cherbourg,S,1
Jonsson,Mr Carl,Male,25,Southampton,S,3
Khalil,Mr Betros,Male,25,Cherbourg,V,3
Kiernan,Mr John Joseph,Male,25,Queenstown,V,3
Krekorian,Mr Neshan,Male,25,Cherbourg,S,3
Laroche,Mr Joseph Philippe Lemercier,Male,25,Cherbourg,V,2
Leyson,Mr Robert William Norman,Male,25,Southampton,V,2
Livshin,Mr David,Male,25,Southampton,S,3
Malachard,Mr Jean-Noël,Male,25,Cherbourg,V,2
Mardirosian,Mr Sarkis,Male,25,Cherbourg,V,3
Peltomäki,Mr Nikolai Johannes,Male,25,Southampton,V,3
Persson,Mr Ernst Ulrik,Male,25,Southampton,S,3
Pettersson,Mr Johan Emil,Male,25,Southampton,V,3
Sobey,Mr Samuel James Hayden,Male,25,Southampton,V,2
Stokes,Mr Philip Joseph,Male,25,Southampton,V,2
Sutehall,Mr Henry Jr,Male,25,Southampton,V,3
Tenglin,Mr Gunnar Isidor,Male,25,Southampton,S,3
Törnquist,Mr William Henry,Male,25,Southampton,S,3
Totevski,Mr Hristo Danchev,Male,25,Southampton,V,3
Chaboisson,Mr. Adrien Finnin,Male,25,Southampton,V,Crew
Curtis,Mr. Arthur,Male,25,Southampton,V,Crew
Lawrence,Mr. Arthur,Male,25,Belfast,V,Crew
Jensen,Mr. Charles Valdemar,Male,25,Southampton,V,Crew
Campbell,Mr. Donald S.,Male,25,Southampton,V,Crew
Self,Mr. Edward,Male,25,Southampton,S,Crew
Wateridge,Mr. Edward Lewis,Male,25,Southampton,V,Crew
Petty,Mr. Edwin Henry,Male,25,Southampton,V,Crew
Hamilton,Mr. Ernest,Male,25,Belfast,V,Crew
Dymond,Mr. Frank,Male,25,Southampton,S,Crew
Thresher,Mr. George,Male,25,Southampton,S,Crew
Salussolia,Mr. Giovanni,Male,25,Southampton,V,Crew
Johnson Thorne,Mr. Harry,Male,25,Southampton,V,Crew
Neal,Mr. Henry,Male,25,Southampton,S,Crew
Street,Mr. Henry Albert,Male,25,Southampton,S,Crew
Brooks,Mr. J.,Male,25,Southampton,V,Crew
Diaper,Mr. J.,Male,25,Southampton,S,Crew
Cooper,Mr. James,Male,25,Southampton,V,Crew
Hill,Mr. James,Male,25,Southampton,V,Crew
Taylor,Mr. James,Male,25,Southampton,S,Crew
McGough,Mr. James R.,Male,25,Southampton,S,Crew
Brown,Mr. John,Male,25,Southampton,V,Crew
Chorley,Mr. John,Male,25,Southampton,V,Crew
O'Connor,Mr. John,Male,25,Southampton,S,Crew
Podesta,Mr. John,Male,25,Southampton,S,Crew
Charman,Mr. John,Male,25,Southampton,V,Crew
Phillips,"Mr. John George ""Jack""",Male,25,Belfast,V,Crew
Rice,Mr. John Reginald,Male,25,Southampton,V,Crew
Rice,Mr. John Reginald,Male,25,Southampton,V,Crew
Brown,Mr. Joseph James,Male,25,Southampton,V,Crew
Maskell,Mr. L.A.,Male,25,Southampton,V,Crew
Conway,Mr. P.W.,Male,25,Belfast,V,Crew
Maugé,Mr. Paul Achille Maurice Germain,Male,25,Southampton,S,Crew
Sullivan,Mr. S.,Male,25,Southampton,V,Crew
Sedunary,Mr. Sidney Francis,Male,25,Southampton,V,Crew
Barton,Mr. Sidney John,Male,25,Southampton,V,Crew
Mayzes,Mr. Thomas,Male,25,Southampton,S,Crew
Dillon,Mr. Thomas Patrick,Male,25,Southampton,S,Crew
Lucas,Mr. William A.,Male,25,Southampton,S,Crew
Pitfield,Mr. William James,Male,25,Southampton,V,Crew
Barber,Miss Ellen Mary,Female,26,Southampton,S,1
Barry,Miss Julia,Female,26,Queenstown,V,3
Clark,Mrs Virginia Estelle,Female,26,Cherbourg,S,1
Heikkinen,Miss Laina,Female,26,Southampton,V,3
Howard,Miss May Elizabeth,Female,26,Southampton,S,3
Jermyn,Miss Annie Jane,Female,26,Queenstown,S,3
Johnson,Mrs Elisabeth Vilhelmina,Female,26,Southampton,S,3
Kink-Heilmann,Mrs Luise,Female,26,Southampton,S,3
Lobb,Mrs Cordelia K.,Female,26,Southampton,V,3
McCoy,Miss Alice,Female,26,Queenstown,S,3
Nilsson,Miss Helmina Josefina,Female,26,Southampton,S,3
O’Brien,Mrs Johanna,Female,26,Queenstown,V,3
Peacock,Mrs Edith,Female,26,Southampton,V,3
Peters,Miss Catherine,Female,26,Queenstown,V,3
Turpin,Mrs Dorothy Ann,Female,26,Southampton,V,2
Wright,Miss Marion,Female,26,Southampton,S,2
Ab ī-Al-Munà,Mr Nās īf Qāsim,Male,26,Cherbourg,S,3
Adams,Mr John,Male,26,Southampton,V,3
Andersson,Mr Johan Samuel,Male,26,Southampton,V,3
Angheloff,Mr Minko,Male,26,Southampton,V,3
Balkic,Mr Cerin,Male,26,Southampton,V,3
Behr,Mr Karl Howell,Male,26,Cherbourg,S,1
Bengtsson,Mr Johan Viktor,Male,26,Southampton,V,3
Bostandyeff,Mr Guentcho,Male,26,Southampton,V,3
Bowen,Mr David John “Dai”,Male,26,Southampton,V,3
Caldwell,Mr Albert Francis,Male,26,Southampton,S,2
Chronopoulos,Mr Apostolos M.,Male,26,Cherbourg,V,3
Dennis,Mr William,Male,26,Southampton,V,3
Gavey,Mr Laurence,Male,26,Southampton,V,2
Hansen,Mr Henrik Juul,Male,26,Southampton,V,3
Johansson Palmquist,Mr Oskar Leander,Male,26,Southampton,S,3
Kink,Mr Vincenz,Male,26,Southampton,V,3
Kutscher (Lithman),Mr Simon,Male,26,Southampton,V,3
Lester,Mr James,Male,26,Southampton,V,3
Nesson,Mr Israel,Male,26,Southampton,V,2
Padron Manent,Mr Julian,Male,26,Cherbourg,S,2
Smyth,Mr Thomas,Male,26,Queenstown,V,3
Yousseff (Abi Saab),Mr Gerios,Male,26,Cherbourg,V,3
Cotton,Mr. A.,Male,26,Southampton,V,Crew
Derrett,Mr. Albert,Male,26,Belfast,V,Crew
Fryer,Mr. Albert Ernest,Male,26,Southampton,S,Crew
Rous,Mr. Arthur John,Male,26,Southampton,V,Crew
Ashcroft,Mr. Austin Aloysius,Male,26,Southampton,V,Crew
Saunders,Mr. D. E.,Male,26,Southampton,V,Crew
Beux,Mr. David,Male,26,Southampton,V,Crew
Stone,Mr. Edmond J.,Male,26,Southampton,V,Crew
Coy,Mr. Francis Ernest George,Male,26,Southampton,V,Crew
Allen,Mr. George,Male,26,Southampton,V,Crew
Aspeslagh,Mr. Georges,Male,26,Southampton,V,Crew
Cooper,Mr. Harry,Male,26,Southampton,V,Crew
Marks,Mr. J.,Male,26,Southampton,V,Crew
Wyeth,Mr. James Robert,Male,26,Southampton,V,Crew
Blument,Mr. Jean Baptiste,Male,26,Southampton,V,Crew
Hutchinson,Mr. John Hall,Male,26,Belfast,V,Crew
Zarracchi,Mr. L.,Male,26,Southampton,V,Crew
Leonard,Mr. Matthew,Male,26,Belfast,V,Crew
Fletcher,Mr. Peter W.,Male,26,Belfast,V,Crew
Adams,Mr. R.,Male,26,Southampton,V,Crew
Davies,Mr. Robert J.,Male,26,Belfast,V,Crew
Williams,Mr. Samuel Solomon,Male,26,Southampton,V,Crew
Blake,Mr. Seaton,Male,26,Southampton,V,Crew
Blake,Mr. Seaton,Male,26,Belfast,V,Crew
Kerr,Mr. Thomas,Male,26,Southampton,V,Crew
Morgan,Mr. Thomas A.,Male,26,Southampton,V,Crew
Snooks,Mr. W,Male,26,Southampton,V,Crew
Smith,Mr. William,Male,26,Southampton,V,Crew
Skeates,Mr. William,Male,26,Southampton,V,Crew
Foley,Mr. William C.,Male,26,Southampton,S,Crew
Peters,Mr. William Chapman,Male,26,Southampton,S,Crew
Lyons,Mr. William Henry,Male,26,Southampton,V,Crew
Gosling,S.,Male,26,Southampton,V,Crew
Davidson,Mrs Orian,Female,27,Cherbourg,S,1
Douglas,Mrs Mary Hélène,Female,27,Cherbourg,S,1
Driscoll,Miss Bridget,Female,27,Queenstown,S,3
Durán I Moné,Señora Asuncion,Female,27,Cherbourg,S,2
Honkanen,Miss Eliina,Female,27,Southampton,V,3
Ilmakangas,Miss Ida Livija,Female,27,Southampton,V,3
Leroy,Miss Berthe,Female,27,Cherbourg,S,1
Trout,Mrs Jessie Laird,Female,27,Southampton,S,2
Troutt,Miss Edwina Celia,Female,27,Southampton,S,2
Tu’Mah,Mrs Hinnah,Female,27,Cherbourg,S,3
Attala,Mr Sleiman,Male,27,Cherbourg,V,3
Carrau,Mr Francisco Mauro Severiano,Male,27,Southampton,V,1
Chambers,Mr Norman Campbell,Male,27,Southampton,S,1
Clark,Mr Walter Miller,Male,27,Cherbourg,V,1
Collander,Mr Erik Gustaf,Male,27,Southampton,V,2
Cor,Mr Ivan,Male,27,Southampton,V,3
Daniel,Mr Robert Williams,Male,27,Southampton,S,1
Danoff,Mr Yoto,Male,27,Southampton,V,3
Hannah,Mr Borak,Male,27,Cherbourg,S,3
Hassab,Mr Hammad,Male,27,Cherbourg,S,1
Hedman,Mr Oskar Arvid,Male,27,Southampton,S,3
Jönsson,Mr Nils Hilding,Male,27,Southampton,V,3
Linhart,Mr Wenzel,Male,27,Southampton,V,3
McNamee,Mr Neal,Male,27,Southampton,V,3
Moen,Mr Sigurd Hansen,Male,27,Southampton,V,3
Montvila,Father Juozas,Male,27,Southampton,V,2
Moran,Mr Daniel J.,Male,27,Queenstown,V,3
Norman,Mr Robert Douglas,Male,27,Southampton,V,2
O’Brien,Mr Thomas,Male,27,Queenstown,V,3
Olsen,Mr Ole Martin,Male,27,Southampton,V,3
Plotcharsky,Mr Vasil,Male,27,Southampton,V,3
Pulbaum,Mr Franz,Male,27,Cherbourg,V,2
Radeff,Mr Alexander,Male,27,Southampton,V,3
